gene_oid	Start Coord	End Coord	Strand	GC	Locus Tag	Gene Symbol	Description	Scaffold Name	MyIMG_Annotation
633218960	1566029	1566946	+	.41	Saci_1799		ABC transporter	Sulfolobus acidocaldarius DSM 639 chromosome	
633218965	1566928	1567740	+	.38	Saci_1800		ABC-2 type transporter	Sulfolobus acidocaldarius DSM 639 chromosome	
633218970	1567823	1568215	-	.37	Saci_1801		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633218975	1568285	1570210	-	.39	Saci_1802		conserved Archaeal 4Fe-4S binding protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633218980	1570415	1571125	+	.42	Saci_1803		conserved Prokaryal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633218985	1571433	1571771	-	.4	Saci_1804		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633218990	1572053	1572943	+	.38	Saci_1805		conserved Archaeal membrane protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633218995	1573304	1574416	+	.37	Saci_1806		sugar transporter	Sulfolobus acidocaldarius DSM 639 chromosome	
633219000	1574483	1575154	-	.4	Saci_1807		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219005	1575279	1576562	-	.39	Saci_1808		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219010	1576764	1577747	-	.39	Saci_1809		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219015	1577770	1579347	-	.42	Saci_1810		ABC transporter	Sulfolobus acidocaldarius DSM 639 chromosome	
633219020	1579352	1580068	-	.39	Saci_1811		conserved membrane protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219025	1580688	1580921	+	.38	Saci_1812		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219030	1580918	1581340	+	.39	Saci_1813		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219035	1581524	1581916	-	.41	Saci_1814		carboxymuconolactone decarboxylase( EC:4.1.1.44 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633219040	1582040	1582345	-	.42	Saci_1815		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219045	1582631	1584307	-	.41	Saci_1816		glycosyl hydrolase( EC:3.2.1.- )	Sulfolobus acidocaldarius DSM 639 chromosome	
633219050	1584608	1585231	+	.39	Saci_1817		conserved Archaeal membrane protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219055	1585617	1586756	-	.41	Saci_1818		conserved membrane protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219060	1586796	1587611	+	.41	Saci_1819		conserved Crenarchaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219065	1587618	1588829	-	.41	Saci_1820		Mn2+ and Fe2+ transporter	Sulfolobus acidocaldarius DSM 639 chromosome	
633219070	1588923	1589513	-	.42	Saci_1821		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219075	1589697	1590029	+	.38	Saci_1822		conserved Rieske (2Fe-2S) protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219080	1590068	1590493	-	.37	Saci_1823		thioredoxin( EC:1.8.- )	Sulfolobus acidocaldarius DSM 639 chromosome	
633219085	1590621	1591208	+	.36	Saci_1824		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219090	1591473	1591985	+	.38	Saci_1825		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219095	1592189	1592845	+	.39	Saci_1826		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219100	1592842	1594047	+	.4	Saci_1827		glycosyl transferase group 1	Sulfolobus acidocaldarius DSM 639 chromosome	
633219105	1594148	1595446	-	.39	Saci_1828		conserved transporter protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219110	1595645	1595983	-	.35	Saci_1829		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219115	1596206	1596817	+	.38	Saci_1830		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219120	1596802	1597425	+	.4	Saci_1831		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219125	1597685	1598296	-	.38	Saci_1832		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219130	1598347	1598922	+	.36	Saci_1833		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219135	1598965	1599327	-	.39	Saci_1834		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219140	1599696	1600976	+	.41	Saci_1835	proP	proline/betaine transporter	Sulfolobus acidocaldarius DSM 639 chromosome	
633219145	1600977	1602209	+	.42	Saci_1836		amidohydrolase( EC:3.5.- )	Sulfolobus acidocaldarius DSM 639 chromosome	
633219150	1602333	1603421	+	.39	Saci_1837		aspartate aminotransferase( EC:2.6.1.1 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633219155	1603570	1605627	-	.42	Saci_1838		carbon monoxide dehydrogenase large chain( EC:1.2.99.2 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633219160	1605917	1607575	+	.39	Saci_1839		membrane protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219165	1607933	1608490	+	.36	Saci_1840		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219170	1608586	1610133	+	.36	Saci_1841		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219175	1610285	1611094	+	.4	Saci_1842		conserved Crenarchaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219180	1611244	1611591	-	.43	Saci_1843		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219185	1611697	1612233	-	.43	Saci_1844		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219190	1612674	1613114	+	.37	Saci_1845		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219195	1613165	1616359	-	.39	Saci_1846		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219200	1616590	1617333	-	.39	Saci_1847		glutamine amidotransferase class-II	Sulfolobus acidocaldarius DSM 639 chromosome	
633219205	1617462	1618676	-	.41	Saci_1848		proline/betaine transporter	Sulfolobus acidocaldarius DSM 639 chromosome	
633219210	1618954	1620429	+	.42	Saci_1849	bgaS	beta-galactosidase( EC:3.2.1.23 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633219215	1620502	1621581	-	.37	Saci_1850		membrane protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219220	1621578	1621943	-	.4	Saci_1851		regulatory protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219225	1622719	1623654	+	.35	Saci_1852		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219230	1623880	1626798	-	.4	Saci_1853		membrane protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219235	1626981	1627814	-	.39	Saci_1854		outer surface protein A	Sulfolobus acidocaldarius DSM 639 chromosome	
633219240	1628143	1629138	+	.36	Saci_1855		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219245	1629734	1630903	+	.37	Saci_1856		conserved membrane protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219250	1631234	1632679	-	.46	Saci_1857		aldehyde dehydrogenase( EC:1.2.1.5 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633219255	1633061	1634449	+	.41	Saci_1858	cbsA	cytochrome b558/566 subunit A	Sulfolobus acidocaldarius DSM 639 chromosome	
633219260	1634446	1635378	+	.34	Saci_1859	cbsB	cytochrome b558/566 subunit B	Sulfolobus acidocaldarius DSM 639 chromosome	
633219265	1635417	1636394	+	.42	Saci_1860		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219270	1636425	1638038	+	.39	Saci_1861	soxC	cytochrome b	Sulfolobus acidocaldarius DSM 639 chromosome	
633219275	1638061	1638354	+	.36	Saci_1862		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219280	1638614	1639111	+	.31	Saci_1863		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219285	1639369	1640214	-	.43	Saci_1864		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219290	1640585	1641487	-	.4	Saci_1865		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219295	1642858	1643517	-	.35	Saci_1866		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219300	1644024	1644833	-	.4	Saci_1867		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219305	1645355	1645846	-	.38	Saci_1868		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219310	1646618	1648768	-	.49	Saci_1869		membrane bound kinase	Sulfolobus acidocaldarius DSM 639 chromosome	
633219315	1649867	1650409	-	.43	Saci_1871		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219320	1659678	1661693	-	.43	Saci_1872		putative ATP-dependent helicase	Sulfolobus acidocaldarius DSM 639 chromosome	
633219325	1661804	1662571	-	.44	Saci_1873		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219330	1662558	1663613	-	.42	Saci_1874		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219335	1663610	1666198	-	.4	Saci_1875		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219340	1666289	1666954	+	.38	Saci_1876		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219345	1666935	1667798	+	.41	Saci_1877		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219350	1668049	1668273	+	.3	Saci_1878		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219355	1668306	1668596	+	.42	Saci_1879		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219360	1668577	1669086	+	.43	Saci_1880		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219365	1669823	1670740	-	.43	Saci_1881		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219370	1676838	1677062	+	.44	Saci_1882		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219375	1677052	1677447	+	.38	Saci_1883		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219380	1677929	1678801	-	.46	Saci_1884		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219385	1678816	1680063	-	.48	Saci_1885		alkyldihydroxyacetonephosphate synthase( EC:2.5.1.26 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633219390	1680857	1682047	-	.43	Saci_1886		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219395	1682917	1684107	+	.39	Saci_1887		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219400	1684094	1684540	+	.37	Saci_1888		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219405	1686232	1686642	+	.36	Saci_1891		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219410	1686895	1687158	+	.35	Saci_1892		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219415	1687155	1688339	+	.39	Saci_1893		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219420	1687808	1688143	-	.44	Saci_1894		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219425	1688336	1688653	+	.4	Saci_1895		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219430	1688650	1689336	+	.35	Saci_1896		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219435	1689322	1689705	-	.35	Saci_1897		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219440	1689690	1690427	-	.36	Saci_1898		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219445	1690424	1693081	-	.34	Saci_1899		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219450	1694040	1694750	+	.34	Saci_1900		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219455	1696766	1697422	+	.4	Saci_1901		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219460	1697964	1698386	+	.46	Saci_1902		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219465	1698637	1699764	-	.43	Saci_1903		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219470	1700297	1701406	-	.39	Saci_1904		partially conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219475	1701689	1703074	-	.38	Saci_1905		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219480	1703744	1705672	-	.36	Saci_1906		membrane protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219485	1706780	1707844	+	.36	Saci_1907		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219490	1707990	1709516	+	.35	Saci_1908		membrane protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219495	1709614	1710348	+	.35	Saci_1909		dolichyl-phosphate beta-glucosyltransferase( EC:2.4.1.117 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633219500	1710351	1711343	-	.36	Saci_1910		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219505	1711453	1712238	+	.35	Saci_1911		glycosyl transferase	Sulfolobus acidocaldarius DSM 639 chromosome	
633219510	1712336	1714645	-	.36	Saci_1912		conserved membrane protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219515	1714741	1715034	-	.33	Saci_1913		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219520	1715286	1716353	+	.36	Saci_1914		glycosyl transferase group 1	Sulfolobus acidocaldarius DSM 639 chromosome	
633219525	1716446	1717402	-	.35	Saci_1915		glycosyl transferase	Sulfolobus acidocaldarius DSM 639 chromosome	
633219530	1717417	1718745	-	.39	Saci_1916		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219535	1718771	1721044	-	.37	Saci_1917		conserved membrane protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219540	1721168	1721947	+	.38	Saci_1918		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219545	1722488	1724938	+	.33	Saci_1919		membrane protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219550	1725044	1727395	-	.31	Saci_1920		membrane protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219555	1729694	1730845	-	.36	Saci_1921		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219560	1731075	1732388	+	.33	Saci_1922		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219565	1732671	1733780	+	.36	Saci_1923		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219570	1734304	1734618	+	.35	Saci_1924		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219575	1735733	1736368	-	.46	Saci_1925	cysH	phosphoadenosine phosphosulfate reductase( EC:1.8.4.8 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633219580	1737837	1738394	-	.35	Saci_1926		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219585	1738494	1738892	-	.39	Saci_1927		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219590	1739123	1739647	+	.4	Saci_1928		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219595	1739634	1739975	+	.4	Saci_1929		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219600	1740627	1741877	-	.41	Saci_1930		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219605	1742374	1742790	+	.37	Saci_1931		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219610	1743440	1743625	-	.4	Saci_1932		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219615	1743815	1744156	-	.41	Saci_1933		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219620	1745193	1746188	-	.46	Saci_1934		pyridine nucleotide-disulphide oxidoreductase	Sulfolobus acidocaldarius DSM 639 chromosome	
633219625	1746190	1747839	-	.48	Saci_1935	pox	pyruvate oxidase( EC:1.2.2.2 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633219630	1747993	1748289	+	.38	Saci_1936		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219635	1748267	1748662	+	.38	Saci_1937		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219640	1748995	1750431	-	.46	Saci_1938		aldehyde dehydrogenase( EC:1.2.1.- )	Sulfolobus acidocaldarius DSM 639 chromosome	
633219645	1750538	1751416	+	.44	Saci_1939		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219650	1751553	1752071	-	.44	Saci_1940	pip	proline iminopeptidase( EC:3.4.11.5 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633219655	1752082	1753335	-	.43	Saci_1941		ISC1913-like transposase	Sulfolobus acidocaldarius DSM 639 chromosome	
633219660	1753532	1753918	-	.42	Saci_1942		proline iminopeptidase	Sulfolobus acidocaldarius DSM 639 chromosome	
633219665	1755149	1756606	-	.44	Saci_1943		sugar proton symporter	Sulfolobus acidocaldarius DSM 639 chromosome	
633219670	1756984	1757544	-	.45	Saci_1944		conserved membrane protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219675	1757884	1758237	-	.4	Saci_1945		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219680	1758283	1758555	-	.41	Saci_1946		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219685	1759516	1759740	+	.43	Saci_1947		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219690	1760591	1761829	-	.41	Saci_1948		transporter	Sulfolobus acidocaldarius DSM 639 chromosome	
633219695	1762556	1763086	+	.36	Saci_1949		conserved Crenarchaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219700	1763695	1764372	-	.35	Saci_1950		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219705	1764611	1764859	+	.55	Saci_1951		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219710	1765335	1765583	+	.43	Saci_1952		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219715	1765576	1765995	+	.41	Saci_1953		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219720	1766204	1766599	-	.41	Saci_1954		conserved Archaeal PIN domain protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219725	1766583	1766810	-	.37	Saci_1955		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219730	1766910	1767353	-	.4	Saci_1956		conserved Prokaryal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219735	1767340	1769043	-	.44	Saci_1957		sugar transporter	Sulfolobus acidocaldarius DSM 639 chromosome	
633219740	1769620	1770117	+	.37	Saci_1958		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219745	1770126	1770809	+	.36	Saci_1959		hypothetical membrane protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219750	1770815	1771582	+	.39	Saci_1960		membrane protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219755	1771579	1772433	+	.42	Saci_1961		ABC transporter	Sulfolobus acidocaldarius DSM 639 chromosome	
633219760	1772405	1772992	+	.35	Saci_1962		hypothetical membrane protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219765	1773315	1773644	+	.43	Saci_1963		conserved Archaeal Rieske-type (2Fe-2S) protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219770	1773811	1774071	+	.39	Saci_1964		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219775	1774515	1775249	+	.46	Saci_1965		short chain dehydrogenase	Sulfolobus acidocaldarius DSM 639 chromosome	
633219780	1775246	1776781	+	.46	Saci_1966	fadD	long-chain-fatty-acid-CoA ligase( EC:6.2.1.3 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633219785	1776768	1777886	+	.46	Saci_1967		mandelate racemase/muconate lactonizing enzyme	Sulfolobus acidocaldarius DSM 639 chromosome	
633219790	1777888	1779048	+	.48	Saci_1968		conserved acetyl-CoA acetyltransferase	Sulfolobus acidocaldarius DSM 639 chromosome	
633219795	1779041	1779385	+	.43	Saci_1969		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219800	1779782	1780024	+	.4	Saci_1970		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219805	1780729	1782069	+	.42	Saci_1972		conserved Archaeal transport protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219810	1782228	1784474	+	.45	Saci_1973		conserved Prokaryal membrane protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219815	1784778	1785683	-	.4	Saci_1974		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219820	1788086	1788946	+	.43	Saci_1975		modification methylase	Sulfolobus acidocaldarius DSM 639 chromosome	
633219825	1788954	1790069	+	.37	Saci_1976		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219830	1791620	1792051	+	.41	Saci_1977		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219835	1792029	1792373	+	.44	Saci_1978		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219840	1792832	1794064	-	.42	Saci_1979		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219845	1795356	1795592	+	.42	Saci_1980		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219850	1795579	1795983	+	.42	Saci_1981		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219855	1796696	1797802	-	.45	Saci_1982		membrane protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219860	1798026	1798400	-	.41	Saci_1983		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219865	1799411	1799665	+	.4	Saci_1984		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219870	1799655	1800041	+	.41	Saci_1985		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219875	1800311	1800781	+	.44	Saci_1986		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219880	1800804	1801706	+	.4	Saci_1987		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219885	1802907	1803908	-	.43	Saci_1988		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219890	1804174	1805922	-	.41	Saci_1989		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219895	1806737	1807546	-	.4	Saci_1990		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219900	1808144	1809382	+	.41	Saci_1991		universally conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219905	1809967	1810347	-	.43	Saci_1992		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219910	1810423	1810956	+	.44	Saci_1993		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219915	1811358	1811666	-	.39	Saci_1994		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219920	1813650	1814243	+	.38	Saci_1998		hypothetical membrane protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219925	1814257	1815237	+	.34	Saci_1999		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219930	1815241	1816053	+	.43	Saci_2000		ABC transporter, ATPase component	Sulfolobus acidocaldarius DSM 639 chromosome	
633219935	1816322	1816741	+	.37	Saci_2001		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219940	1817055	1817375	-	.38	Saci_2002		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219945	1817476	1817742	-	.37	Saci_2003		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219950	1818507	1819034	-	.34	Saci_2004		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219955	1819329	1819727	+	.36	Saci_2005		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219960	1819708	1820253	+	.36	Saci_2006		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219965	1820330	1821373	-	.42	Saci_2007		hypothetical membrane protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219970	1821722	1822534	-	.43	Saci_2008		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219975	1822930	1823295	+	.41	Saci_2009		hypothetical membrane protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219980	1824407	1824703	-	.45	Saci_2010		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219985	1824710	1825615	-	.46	Saci_2011		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219990	1827072	1827473	-	.41	Saci_2012		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633219995	1830318	1831478	-	.47	Saci_2016		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633220000	1831633	1832109	+	.46	Saci_2017		phosphohistidine phosphatase/mutase	Sulfolobus acidocaldarius DSM 639 chromosome	
633220005	1832110	1833345	+	.48	Saci_2018		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633220010	1833342	1833983	+	.47	Saci_2019		thymidylate kinase( EC:2.7.4.9 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633220015	1833962	1834594	+	.48	Saci_2020		thymidylate kinase-like protein( EC:2.7.4.9 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633220020	1834584	1835204	+	.46	Saci_2021		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633220025	1835913	1836542	+	.39	Saci_2022		ISC1913-like resolvase	Sulfolobus acidocaldarius DSM 639 chromosome	
633220030	1836532	1837788	+	.43	Saci_2023		ISC1913-like transposase	Sulfolobus acidocaldarius DSM 639 chromosome	
633220035	1838017	1838490	-	.37	Saci_2024		hypothetical membrane protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633220040	1838949	1840031	+	.41	Saci_2025		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633220045	1840310	1841509	+	.44	Saci_2026		conserved TPR domain protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633220050	1841968	1842891	+	.45	Saci_2027		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633220055	1842996	1844063	-	.43	Saci_2028		conserved nickel transporter	Sulfolobus acidocaldarius DSM 639 chromosome	
633220060	1844646	1844897	+	.39	Saci_2029		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633220065	1844869	1845270	+	.34	Saci_2030		conserved Archaeal PIN domain protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633220070	1845717	1846163	-	.34	Saci_2031		conserved Archaeal protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633220075	1846165	1847460	-	.35	Saci_2032		glycerol-3-phosphate dehydrogenase( EC:1.1.99.5 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633220080	1847704	1849197	+	.39	Saci_2033		glycerol kinase( EC:2.7.1.30 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633220085	1849204	1850085	+	.4	Saci_2034		glycerol uptake facilitator protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633220090	1850246	1851289	+	.32	Saci_2035		conserved protein	Sulfolobus acidocaldarius DSM 639 chromosome	
633220095	1851278	1852822	-	.37	Saci_2036		hydantoinase( EC:3.5.2.9 )	Sulfolobus acidocaldarius DSM 639 chromosome	
633220100	1852813	1853889	-	.37	Saci_2037		hypothetical protein	Sulfolobus acidocaldarius DSM 639 chromosome	
