OS TB 12/05/95 C&D: Source x Race-Cases '94



 Table R56.  Number of nonfatal occupational injuries and illnesses involving days away from work(1) by source of
 injury or illness and race or ethnic origin of worker, 1994
 __________________________________________________________________________________________________________________
                                 |           |         |                                                           
                                 |           |         |                   Race or ethnic origin                   
                                 |           |         |___________________________________________________________
                                 |   Source  | Private |         |         |         |         |         |         
       Pliers, tongs.............|    7141   |      436|      230|    -    |       33|    -    |    -    |      141
       Vises, clamps.............|    7142   |    1,009|      835|       24|       13|    -    |    -    |      128
       Gripping                  |           |         |         |         |         |         |         |         
        handtools--nonpowered,   |           |         |         |         |         |         |         |         
        n.e.c. ..................|    7149   |      171|       88|       24|    -    |    -    |    -    |       52
     Measuring                   |           |         |         |         |         |         |         |         
      handtools--nonpowered......|     715   |      650|      340|       38|       80|    -    |    -    |      184
       Calipers, micrometers.....|    7151   |       53|       34|    -    |    -    |    -    |    -    |       16
       Dividers..................|    7152   |       14|    -    |    -    |    -    |    -    |    -    |    -    
       Gauges....................|    7153   |      138|       50|    -    |    -    |    -    |    -    |       76
       Levels....................|    7154   |       49|       32|    -    |       15|    -    |    -    |    -    
       Rulers, tape measures.....|    7156   |      136|       93|    -    |       12|    -    |    -    |       27
       Measuring                 |           |         |         |         |         |         |         |         
        handtools--nonpowered,   |           |         |         |         |         |         |         |         
        n.e.c. ..................|    7159   |      232|      119|       29|    -    |    -    |    -    |       61
     Striking and nailing        |           |         |         |         |         |         |         |         
      handtools--nonpowered......|     716   |    7,968|    5,422|      491|      566|       87|       75|    1,328
       Striking and nailing      |           |         |         |         |         |         |         |         
        handtools--              |           |         |         |         |         |         |         |         
        nonpowered, unspecified..|    7160   |      353|      325|    -    |    -    |    -    |    -    |       16
       Hammers...................|    7161   |    4,050|    2,659|      306|      266|       69|       26|      722
       Mallets...................|    7162   |      258|      138|       12|       35|    -    |    -    |       70
       Punches, counterpunches,  |           |         |         |         |         |         |         |         
        countersinks.............|    7163   |       65|       54|    -    |    -    |    -    |    -    |    -    
       Sledges...................|    7164   |    2,884|    2,017|      133|      210|       11|       48|      464
       Striking                  |           |         |         |         |         |         |         |         
        handtools--nonpowered,   |           |         |         |         |         |         |         |         
        n.e.c. ..................|    7169   |      359|      229|       37|       44|    -    |    -    |       48
     Surfacing                   |           |         |         |         |         |         |         |         
      handtools--nonpowered......|     717   |      841|      500|       82|       81|       14|       12|      152
       Surfacing                 |           |         |         |         |         |         |         |         
        handtools--nonpowered,   |           |         |         |         |         |         |         |         
        unspecified..............|    7170   |       19|    -    |    -    |    -    |    -    |    -    |    -    
       Files.....................|    7171   |      137|       90|       20|    -    |    -    |    -    |       18
       Planes....................|    7172   |       55|       41|    -    |    -    |    -    |    -    |    -    
       Sanders...................|    7173   |      121|       88|    -    |    -    |    -    |    -    |    -    
       Sharpening stones and     |           |         |         |         |         |         |         |         
        wheels...................|    7174   |       44|       20|    -    |       14|    -    |    -    |    -    
       Surfacing                 |           |         |         |         |         |         |         |         
        handtools--nonpowered,   |           |         |         |         |         |         |         |         
        n.e.c. ..................|    7179   |      464|      253|       62|       31|       14|    -    |      105
     Turning                     |           |         |         |         |         |         |         |         
      handtools--nonpowered......|     718   |    5,929|    3,931|      279|      432|       56|    -    |    1,226
       Turning                   |           |         |         |         |         |         |         |         
        handtools--nonpowered,   |           |         |         |         |         |         |         |         
        unspecified..............|    7180   |       39|    -    |    -    |    -    |    -    |    -    |    -    
       Screwdrivers..............|    7181   |    1,116|      757|       60|       56|    -    |    -    |      233
       Wrenches..................|    7182   |    4,672|    3,070|      213|      368|       45|    -    |      972
       Turning                   |           |         |         |         |         |         |         |         
        handtools--nonpowered,   |           |         |         |         |         |         |         |         
        n.e.c. ..................|    7189   |      102|       82|    -    |    -    |    -    |    -    |       12
     Other handtools--nonpowered.|     719   |    6,868|    3,544|      667|      523|       87|       24|    2,022
       Other                     |           |         |         |         |         |         |         |         
        handtools--nonpowered,   |           |         |         |         |         |         |         |         
        unspecified..............|    7190   |       33|    -    |    -    |    -    |    -    |    -    |       11
       Brooms, mops, and other   |           |         |         |         |         |         |         |         
        cleaning tools...........|    7191   |    2,068|      841|      320|      143|       40|    -    |      718
       Crowbars..................|    7192   |    2,609|    1,665|      168|      169|       15|    -    |      582
       Pitchforks, spading forks.|    7193   |      144|       34|       38|       51|    -    |    -    |       19
       Rakes.....................|    7194   |      248|      144|       38|       33|    -    |    -    |       28
       Stapling tools--nonpowered|    7195   |      112|       75|    -    |    -    |    -    |    -    |       20
       Other                     |           |         |         |         |         |         |         |         
        handtools--nonpowered,   |           |         |         |         |         |         |         |         
        n.e.c. ..................|    7199   |    1,654|      764|      102|      117|       18|    -    |      646
   Handtools--powered............|      72   |   25,857|   16,199|    1,888|    2,759|      365|       87|    4,560
     Handtools--powered,         |           |         |         |         |         |         |         |         
      unspecified................|     720   |      453|      196|       24|       36|    -    |    -    |      189
     Boring handtools--powered...|     721   |    3,724|    2,794|      210|      159|       38|    -    |      514
       Boring handtools--powered,|           |         |         |         |         |         |         |         
        unspecified..............|    7210   |       11|    -    |    -    |    -    |    -    |    -    |    -    
       Augers--powered...........|    7211   |      440|      365|       26|    -    |    -    |    -    |       27
       Braces--powered...........|    7212   |       16|    -    |    -    |    -    |    -    |    -    |    -    
       Drills--powered...........|    7213   |    2,522|    1,908|      116|      116|       27|    -    |      350
       Routers and               |           |         |         |         |         |         |         |         
        molders--powered.........|    7214   |      668|      486|       34|       19|       12|    -    |      114
       Boring handtools--powered,|           |         |         |         |         |         |         |         
        n.e.c. ..................|    7219   |       68|    -    |       31|    -    |    -    |    -    |       15
     Cutting handtools--powered..|     722   |    6,074|    3,759|      370|      995|      106|       39|      805
       Cutting                   |           |         |         |         |         |         |         |         
        handtools--powered,      |           |         |         |         |         |         |         |         
        unspecified..............|    7220   |      132|       63|       13|    -    |    -    |    -    |       48
       Chainsaws--powered........|    7221   |    1,706|    1,208|      139|      103|       29|    -    |      204
       Chisels--powered..........|    7222   |       36|       28|    -    |    -    |    -    |    -    |    -    
       Knives--powered...........|    7223   |      231|      136|       34|       52|    -    |    -    |    -    
       Saws--powered, except     |           |         |         |         |         |         |         |         
        chainsaws................|    7224   |    2,905|    1,713|      101|      638|       58|    -    |      392
       Cutting                   |           |         |         |         |         |         |         |         
        handtools--powered,      |           |         |         |         |         |         |         |         
        n.e.c. ..................|    7229   |    1,064|      611|       83|      192|       13|       13|      152
     Striking and nailing        |           |         |         |         |         |         |         |         
      handtools--powered.........|     723   |    2,491|    1,385|      219|      240|       31|       14|      601
       Striking and nailing      |           |         |         |         |         |         |         |         
        handtools--powered,      |           |         |         |         |         |         |         |         
        unspecified..............|    7230   |       40|       27|    -    |    -    |    -    |    -    |       11
       Hammers--powered..........|    7231   |      426|      226|       36|       17|    -    |    -    |      138
       Jackhammers--powered......|    7232   |    1,660|      966|      138|      195|    -    |    -    |      343
       Punches--powered..........|    7233   |       39|    -    |       10|    -    |    -    |    -    |    -    
       Riveters--powered.........|    7234   |      277|      139|       30|    -    |    -    |    -    |       78
       Striking and nailing      |           |         |         |         |         |         |         |         
        handtools--powered,      |           |         |         |         |         |         |         |         
        n.e.c. ..................|    7239   |       49|    -    |    -    |    -    |    -    |    -    |    -    
     Surfacing handtools--powered|     724   |    3,684|    2,218|      331|      393|       90|    -    |      647
       Surfacing                 |           |         |         |         |         |         |         |         
        handtools--powered,      |           |         |         |         |         |         |         |         
        unspecified..............|    7240   |       43|       17|    -    |       13|    -    |    -    |       12
       Buffers, polishers,       |           |         |         |         |         |         |         |         
        waxers--powered..........|    7241   |    1,164|      583|      124|      181|       33|    -    |      242
       Hand grinders--powered....|    7242   |    1,466|      959|       90|      133|       41|    -    |      241
       Sanders--powered..........|    7243   |      709|      443|       85|       53|       16|    -    |      112
       Sandblasters--powered.....|    7244   |      110|       74|    -    |    -    |    -    |    -    |       26
       Surfacing                 |           |         |         |         |         |         |         |         
        handtools--powered,      |           |         |         |         |         |         |         |         
        n.e.c. ..................|    7249   |      190|      142|    -    |       11|    -    |    -    |       14
     Turning handtools, powered..|     725   |      876|      534|       70|       78|    -    |    -    |      184
       Turning                   |           |         |         |         |         |         |         |         
        handtools--powered,      |           |         |         |         |         |         |         |         
        unspecified..............|    7250   |       44|       25|       20|    -    |    -    |    -    |    -    
       Bolt setters--powered.....|    7251   |       27|    -    |    -    |    -    |    -    |    -    |    -    
       Impact wrenches--powered..|    7252   |      469|      284|       26|       37|    -    |    -    |      115
       Screwdrivers--powered.....|    7253   |      267|      165|    -    |       40|    -    |    -    |       54
       Turning                   |           |         |         |         |         |         |         |         
        handtools--powered,      |           |         |         |         |         |         |         |         
        n.e.c. ..................|    7259   |       68|       38|       19|    -    |    -    |    -    |       12
     Welding and heating         |           |         |         |         |         |         |         |         
      handtools--powered.........|     726   |    6,826|    4,375|      559|      675|       34|       16|    1,167
       Welding and heating       |           |         |         |         |         |         |         |         
        handtools--powered,      |           |         |         |         |         |         |         |         
        unspecified..............|    7260   |    1,610|      993|      181|      146|    -    |    -    |      274
       Blow torches..............|    7261   |      566|      408|       84|       19|    -    |    -    |       54
       Soldering irons--powered..|    7262   |      407|      345|    -    |       13|    -    |    -    |       39
       Welding torches--powered..|    7263   |    3,920|    2,423|      280|      492|       26|    -    |      691
       Welding and heating       |           |         |         |         |         |         |         |         
        handtools--powered,      |           |         |         |         |         |         |         |         
        n.e.c. ..................|    7269   |      323|      206|    -    |    -    |    -    |    -    |      109
     Other handtools, powered....|     729   |    1,729|      938|      105|      184|       52|    -    |      451
       Nail guns--powered........|    7291   |      450|      277|       18|       30|    -    |    -    |      125
       Scrubbers--powered........|    7293   |      137|       65|       18|    -    |    -    |    -    |       52
       Sprayers--paint...........|    7294   |      284|      153|       11|       11|       11|    -    |       98
       Stapling tools--electric  |           |         |         |         |         |         |         |         
        or pneumatic.............|    7295   |      265|      144|       32|       27|    -    |    -    |       57
       Other handtools--powered, |           |         |         |         |         |         |         |         
        n.e.c. ..................|    7299   |      573|      281|       25|      114|       35|    -    |      118
   Handtools--power not          |           |         |         |         |         |         |         |         
    determined...................|      73   |    8,165|    4,614|      624|      870|       76|       29|    1,951
     Handtools--power not        |           |         |         |         |         |         |         |         
      determined,                |           |         |         |         |         |         |         |         
      unspecified................|     730   |      332|      172|       25|    -    |       12|    -    |       99
     Boring handtools--power not |           |         |         |         |         |         |         |         
      determined.................|     731   |    1,242|      675|       89|      102|    -    |    -    |      364
       Augers--power not         |           |         |         |         |         |         |         |         
        determined...............|    7311   |      282|      152|       24|       20|    -    |    -    |       79
       Braces--power not         |           |         |         |         |         |         |         |         
        determined...............|    7312   |       25|    -    |    -    |    -    |    -    |    -    |       16
       Drills--power not         |           |         |         |         |         |         |         |         
        determined...............|    7313   |      912|      500|       62|       82|    -    |    -    |      263
       Boring handtools--power   |           |         |         |         |         |         |         |         
        not determined, n.e.c. ..|    7319   |       20|       17|    -    |    -    |    -    |    -    |    -    
     Cutting handtools--power not|           |         |         |         |         |         |         |         
      determined.................|     732   |    2,740|    1,360|      236|      423|       17|    -    |      703
       Cutting handtools--power  |           |         |         |         |         |         |         |         
        not determined,          |           |         |         |         |         |         |         |         
        unspecified..............|    7320   |      374|      187|       12|       95|       13|    -    |       67
       Chisels--power not        |           |         |         |         |         |         |         |         
        determined...............|    7321   |      144|       83|    -    |       26|    -    |    -    |       33
       Knives--power not         |           |         |         |         |         |         |         |         
        determined...............|    7322   |      742|      373|       60|      114|    -    |    -    |      192
       Saws--power not determined|    7323   |    1,227|      602|      150|      146|    -    |    -    |      329
       Cutting handtools--power  |           |         |         |         |         |         |         |         
        not determined, n.e.c. ..|    7329   |      253|      114|       14|       42|    -    |    -    |       83
     Striking and nailing        |           |         |         |         |         |         |         |         
      handtools--power not       |           |         |         |         |         |         |         |         
      determined.................|     733   |    1,298|      801|       96|      108|    -    |    -    |      285
       Hammers--power not        |           |         |         |         |         |         |         |         
        determined...............|    7331   |    1,212|      732|       90|      107|    -    |    -    |      275
       Punches--power not        |           |         |         |         |         |         |         |         
        determined...............|    7332   |       60|       49|    -    |    -    |    -    |    -    |    -    
       Striking and nailing      |           |         |         |         |         |         |         |         
        handtools--power not     |           |         |         |         |         |         |         |         
        determined, n.e.c. ......|    7339   |       20|       16|    -    |    -    |    -    |    -    |    -    
     Surfacing handtools--power  |           |         |         |         |         |         |         |         
      not determined.............|     734   |      314|      216|       15|    -    |    -    |    -    |       60
       Surfacing handtools--power|           |         |         |         |         |         |         |         
        not determined,          |           |         |         |         |         |         |         |         
        unspecified..............|    7340   |       17|       15|    -    |    -    |    -    |    -    |    -    
       Sanders--power not        |           |         |         |         |         |         |         |         
        determined...............|    7341   |      266|      185|       13|    -    |    -    |    -    |       58
       Surfacing handtools--power|           |         |         |         |         |         |         |         
        not determined, n.e.c. ..|    7349   |       31|       16|    -    |       12|    -    |    -    |    -    
     Turning handtools--power not|           |         |         |         |         |         |         |         
      determined.................|     735   |    1,910|    1,220|      110|      141|       38|    -    |      393
       Screwdrivers--power not   |           |         |         |         |         |         |         |         
        determined...............|    7351   |      521|      374|    -    |       36|    -    |    -    |       99
       Wrenches--power not       |           |         |         |         |         |         |         |         
        determined...............|    7352   |    1,334|      817|      101|       94|       31|    -    |      284
       Turning handtools--power  |           |         |         |         |         |         |         |         
        not determined, n.e.c. ..|    7359   |       32|       14|    -    |    -    |    -    |    -    |    -    
     Other handtools--power not  |           |         |         |         |         |         |         |         
      determined.................|     739   |      330|      170|       52|       52|    -    |    -    |       47
       Staplers--power not       |           |         |         |         |         |         |         |         
        determined...............|    7391   |       87|       37|       14|       19|    -    |    -    |       15
       Other handtools--power not|           |         |         |         |         |         |         |         
        determined, n.e.c. ......|    7399   |      242|      133|       38|       34|    -    |    -    |       32
   Ladders.......................|      74   |   11,162|    7,095|      796|      794|      176|       24|    2,276
     Ladders, unspecified........|     740   |    5,669|    3,615|      539|      355|    -    |    -    |    1,133
     Ladders--fixed..............|     741   |      188|      101|    -    |       24|    -    |    -    |       56
     Ladders--movable............|     742   |    4,927|    3,165|      207|      408|      154|       17|      974
       Movable ladders,          |           |         |         |         |         |         |         |         
        unspecified..............|    7420   |    2,916|    1,808|      146|      250|    -    |       16|      686
       Extension ladders.........|    7421   |      951|      716|       28|       62|       34|    -    |      111
       Step ladders..............|    7422   |      847|      515|       25|       94|      102|    -    |      113
       Straight ladders..........|    7423   |       57|       44|    -    |    -    |    -    |    -    |    -    
       Truck mounted ladders,    |           |         |         |         |         |         |         |         
        aerial ladder trams......|    7424   |       62|       53|    -    |    -    |    -    |    -    |    -    
       Movable ladders, n.e.c. ..|    7429   |       94|       30|    -    |    -    |    -    |    -    |       49
     Ladders, n.e.c. ............|     749   |      378|      214|       44|    -    |    -    |    -    |      113
   Medical and surgical          |           |         |         |         |         |         |         |         
    instruments..................|      75   |    1,620|      840|       94|      174|      120|    -    |      388
     Medical and surgical        |           |         |         |         |         |         |         |         
      instruments, unspecified...|     750   |      152|       40|       11|       57|    -    |    -    |       38
     Needles and syringes........|     751   |      634|      330|       64|       60|       42|    -    |      136
     Scalpels....................|     752   |      169|      104|    -    |    -    |    -    |    -    |       53
     Medical and surgical        |           |         |         |         |         |         |         |         
      instruments, n.e.c. .......|     759   |      665|      366|       15|       49|       70|    -    |      162
   Photographic equipment........|      76   |      768|      413|      128|       38|    -    |    -    |      178
     Photographic equipment,     |           |         |         |         |         |         |         |         
      unspecified................|     760   |       31|    -    |    -    |    -    |    -    |    -    |    -    
     Cameras--still and motion   |           |         |         |         |         |         |         |         
      picture....................|     761   |      117|       74|    -    |       19|    -    |    -    |    -    
     Photographic paper and cloth|     762   |       17|       11|    -    |    -    |    -    |    -    |    -    
     Tripods, stands.............|     764   |      141|       42|       72|    -    |    -    |    -    |       25
     Photographic equipment,     |           |         |         |         |         |         |         |         
      n.e.c. ....................|     769   |      441|      253|       53|    -    |    -    |    -    |      118
   Protective equipment, except  |           |         |         |         |         |         |         |         
    clothing.....................|      77   |      682|      393|       26|       48|    -    |    -    |      206
     Protective equipment, except|           |         |         |         |         |         |         |         
      clothing, unspecified......|     770   |       13|    -    |    -    |    -    |    -    |    -    |       13
     Dust masks..................|     771   |       63|       24|    -    |    -    |    -    |    -    |       35
     Earplugs and hearing        |           |         |         |         |         |         |         |         
      protectors.................|     772   |       88|       76|    -    |    -    |    -    |    -    |       13
     Face shields, welding masks.|     773   |       37|    -    |    -    |    -    |    -    |    -    |       14
     Hard hats...................|     774   |       27|    -    |    -    |    -    |    -    |    -    |    -    
     Lifelines, lanyards, safety |           |         |         |         |         |         |         |         
      belts or harnesses.........|     775   |      221|      117|    -    |       14|    -    |    -    |       84
     Respirators.................|     776   |       19|       16|    -    |    -    |    -    |    -    |    -    
     Safety glasses or goggles...|     777   |       67|       35|    -    |       17|    -    |    -    |    -    
     Protective equipment, except|           |         |         |         |         |         |         |         
      clothing, n.e.c. ..........|     779   |      146|       83|    -    |       16|    -    |    -    |       37
   Recreation and athletic       |           |         |         |         |         |         |         |         
    equipment....................|      78   |    3,389|    1,938|      285|      152|       50|       36|      928
     Recreation and athletic     |           |         |         |         |         |         |         |         
      equipment, unspecified.....|     780   |      176|      119|       26|    -    |    -    |    -    |    -    
     Camping equipment...........|     781   |      330|      230|    -    |       14|    -    |    -    |       56
     Gymnasium and exercise      |           |         |         |         |         |         |         |         
      equipment..................|     782   |      469|      265|       61|    -    |    -    |    -    |      121
     Playground equipment........|     783   |      154|       99|       19|       16|    -    |    -    |       19
     Riding goods and equipment..|     784   |       24|       24|    -    |    -    |    -    |    -    |    -    
     Snow skiing goods and       |           |         |         |         |         |         |         |         
      equipment..................|     785   |      158|      117|    -    |    -    |    -    |    -    |       34
     Water sports equipment......|     786   |      112|       92|    -    |    -    |    -    |    -    |       15
     Recreation and athletic     |           |         |         |         |         |         |         |         
      equipment, n.e.c. .........|     789   |    1,966|      991|      151|      100|       35|       27|      660
   Other tools, instruments, and |           |         |         |         |         |         |         |         
    equipment....................|      79   |   11,690|    6,322|    1,587|      879|      271|       36|    2,595
     Clocks......................|     791   |      135|       99|    -    |    -    |    -    |    -    |       24
     Cooking and eating utensils,|           |         |         |         |         |         |         |         
      except knives..............|     792   |      545|      296|       33|       39|       34|    -    |      143
     Firearms....................|     793   |      166|      118|    -    |       15|    -    |    -    |       28
       Firearm, unspecified......|    7930   |       63|       38|    -    |    -    |    -    |    -    |       24
       Pistol, handgun, revolver.|    7931   |       46|    -    |    -    |       15|    -    |    -    |    -    
       Shotgun...................|    7933   |       52|       52|    -    |    -    |    -    |    -    |    -    
     Health care and orthopedic  |           |         |         |         |         |         |         |         
      equipment, n.e.c. .........|     794   |    2,458|    1,337|      363|      149|       54|    -    |      546
     Musical instruments.........|     795   |      460|      258|      105|       49|    -    |    -    |       44
       Musical instrument,       |           |         |         |         |         |         |         |         
        unspecified..............|    7950   |       14|    -    |    -    |    -    |    -    |    -    |    -    
       Pianos....................|    7951   |      373|      204|       93|       44|    -    |    -    |       32
       Other musical instruments.|    7959   |       74|       48|       11|    -    |    -    |    -    |    -    
     Sewing notions, n.e.c. .....|     796   |      698|      369|      118|       67|       14|    -    |      131
       Fabric pins, safety pins..|    7961   |       77|       14|       13|       15|    -    |    -    |       35
       Sewing needles............|    7962   |      521|      270|      102|       46|       14|    -    |       90
       Sewing notions, n.e.c. ...|    7969   |      100|       84|    -    |    -    |    -    |    -    |    -    
     Wheelchairs.................|     797   |    3,195|    1,712|      553|      112|       81|       17|      719
     Writing, drawing, and art   |           |         |         |         |         |         |         |         
      supplies...................|     798   |      461|      241|       35|       55|    -    |    -    |      129
       Art supplies and          |           |         |         |         |         |         |         |         
        materials, except paint..|    7981   |       84|       43|    -    |       17|    -    |    -    |    -    
       Chalk, crayons, marking   |           |         |         |         |         |         |         |         
        devices..................|    7982   |       52|       33|    -    |    -    |    -    |    -    |    -    
       Pens and pencils..........|    7983   |      152|       64|       26|       18|    -    |    -    |       45
       Writing, drawing, art     |           |         |         |         |         |         |         |         
        supplies, n.e.c. ........|    7989   |      166|       96|    -    |       17|    -    |    -    |       51
     Tools, instruments, and     |           |         |         |         |         |         |         |         
      equipment, n.e.c. .........|     799   |    3,571|    1,892|      365|      389|       84|    -    |      832
                                 |           |         |         |         |         |         |         |         
 Vehicles........................|       8   |  164,841|   85,753|   18,235|   12,759|    2,358|      509|   45,226
   Vehicle, unspecified..........|      80   |    2,432|    1,306|      306|      161|    -    |    -    |      651
   Air vehicle...................|      81   |    2,452|    1,051|       91|       97|       83|    -    |    1,130
     Aircraft, unspecified.......|     810   |      935|      528|       41|       34|    -    |    -    |      310
     Aircraft--powered fixed wing|     811   |    1,362|      440|       42|       63|       61|    -    |      756
       Aircraft--powered fixed   |           |         |         |         |         |         |         |         
        wing, unspecified........|    8110   |      502|      269|    -    |       20|    -    |    -    |      210
       Jet.......................|    8111   |      664|      131|    -    |       43|       61|    -    |      423
       Propeller-driven aircraft.|    8112   |      115|       39|       29|    -    |    -    |    -    |       47
       Aircraft--powered fixed   |           |         |         |         |         |         |         |         
        wing, n.e.c. ............|    8119   |       81|    -    |    -    |    -    |    -    |    -    |       76
     Aircraft--powered rotary    |           |         |         |         |         |         |         |         
      wing.......................|     812   |       60|       34|    -    |    -    |    -    |    -    |    -    
       Aircraft--rotary wing,    |           |         |         |         |         |         |         |         
        unspecified..............|    8120   |       14|       14|    -    |    -    |    -    |    -    |    -    
       Helicopter................|    8121   |       46|       20|    -    |    -    |    -    |    -    |    -    
     Aircraft, n.e.c. ...........|     819   |       91|       47|    -    |    -    |    -    |    -    |       41
   Highway vehicle, motorized....|      82   |   90,838|   49,824|   10,914|    6,161|      988|      319|   22,630
     Highway vehicle, motorized, |           |         |         |         |         |         |         |         
      unspecified................|     820   |   11,943|    6,497|    1,221|      833|      150|       39|    3,203
     Automobile..................|     821   |   26,303|   15,087|    3,149|    1,496|      343|      102|    6,126
     Bus.........................|     822   |    2,822|      894|      806|      179|      123|    -    |      815
     Motorcycle, moped...........|     823   |      375|      261|    -    |    -    |    -    |    -    |       93
     Motor home, recreational    |           |         |         |         |         |         |         |         
      vehicle....................|     824   |       87|       71|       11|    -    |    -    |    -    |    -    
     Truck.......................|     825   |   43,620|   24,463|    4,816|    3,199|      254|      151|   10,737
       Truck, unspecified........|    8250   |   20,264|   11,428|    2,428|    1,646|      121|       72|    4,568
       Delivery truck............|    8251   |    3,947|    1,867|      594|      465|    -    |    -    |    1,016
       Dump truck................|    8252   |    1,192|      804|       77|       99|    -    |       18|      186
       Pickup truck..............|    8253   |    1,932|    1,270|      224|      182|       40|    -    |      207
       Semitrailer, tractor      |           |         |         |         |         |         |         |         
        trailer, trailer truck...|    8254   |   12,048|    6,408|    1,016|      487|    -    |    -    |    4,107
       Truck, n.e.c. ............|    8259   |    4,237|    2,687|      476|      319|       63|       40|      652
     Van--passenger or light     |           |         |         |         |         |         |         |         
      delivery...................|     826   |    4,995|    2,163|      889|      416|      111|    -    |    1,394
     Highway vehicle, motorized, |           |         |         |         |         |         |         |         
      n.e.c. ....................|     829   |      692|      387|       16|       28|    -    |    -    |      262
   Highway vehicle, nonmotorized.|      83   |    1,274|      720|      266|       94|       46|    -    |      148
     Animal or human powered     |           |         |         |         |         |         |         |         
      vehicle....................|     831   |    1,225|      706|      266|       78|       46|    -    |      129
       Bicycle...................|    8312   |    1,208|      693|      266|       75|       46|    -    |      129
       Animal or human powered   |           |         |         |         |         |         |         |         
        vehicle, n.e.c. .........|    8319   |       13|    -    |    -    |    -    |    -    |    -    |    -    
     Highway vehicle,            |           |         |         |         |         |         |         |         
      nonmotorized, n.e.c. ......|     839   |       25|    -    |    -    |    -    |    -    |    -    |       17
   Offroad vehicle, nonindustrial|      84   |    1,208|      524|      124|      196|    -    |    -    |      349
     Offroad vehicle,            |           |         |         |         |         |         |         |         
      nonindustrial, unspecified.|     840   |       39|    -    |    -    |    -    |    -    |    -    |    -    
     All terrain vehicle (ATV)...|     841   |      246|      112|    -    |       49|    -    |    -    |       84
     Golf cart, powered..........|     842   |      606|      237|      113|      139|    -    |    -    |      103
     Snowmobile..................|     843   |       87|       58|    -    |    -    |    -    |    -    |       26
     Offroad vehicle,            |           |         |         |         |         |         |         |         
      nonindustrial, n.e.c. .....|     849   |      231|      110|    -    |    -    |    -    |    -    |      112
   Plant and industrial powered  |           |         |         |         |         |         |         |         
    vehicles, tractors...........|      85   |   24,954|   12,572|    2,627|    2,894|      373|       70|    6,417
     Plant and industrial powered|           |         |         |         |         |         |         |         
      vehicles, unspecified......|     850   |      515|      300|       66|    -    |    -    |    -    |      123
     Forklift....................|     851   |   20,146|   10,308|    2,123|    2,274|      318|       66|    5,057
       Forklift, unspecified.....|    8510   |   16,068|    8,117|    1,555|    1,880|      226|       65|    4,227
       Counterbalance rider--high|           |         |         |         |         |         |         |         
        lift.....................|    8511   |       47|       19|    -    |    -    |    -    |    -    |       27
       Hand/rider forklift       |           |         |         |         |         |         |         |         
        truck--motorized.........|    8512   |      568|      327|       44|       29|    -    |    -    |      158
       Order picker high lift    |           |         |         |         |         |         |         |         
        truck....................|    8513   |      192|      132|    -    |    -    |    -    |    -    |       42
       Pallet lift               |           |         |         |         |         |         |         |         
        truck--motorized.........|    8514   |    1,480|      681|      324|      135|       62|    -    |      276
       Platform lift truck--high |           |         |         |         |         |         |         |         
        or low lift..............|    8515   |      264|       82|       24|      109|    -    |    -    |       42
       Reach rider lift truck....|    8516   |       38|    -    |    -    |    -    |    -    |    -    |    -    
       Straddle rider lift truck.|    8518   |       18|    -    |    -    |       11|    -    |    -    |    -    
       Forklift, n.e.c. .........|    8519   |    1,468|      934|      161|      100|    -    |    -    |      263
     Powered industrial carrier, |           |         |         |         |         |         |         |         
      except forklifts...........|     852   |    1,216|      456|      165|      198|       13|    -    |      382
       Powered industrial        |           |         |         |         |         |         |         |         
        carrier, except          |           |         |         |         |         |         |         |         
        forklifts, unspecified...|    8520   |      410|      157|       35|       71|    -    |    -    |      146
       Container carrier.........|    8521   |       62|       26|    -    |    -    |    -    |    -    |       34
       Lumber carrier............|    8522   |       14|    -    |    -    |    -    |    -    |    -    |       13
       Stacker carrier...........|    8523   |      174|       80|    -    |    -    |    -    |    -    |       59
       Straddle carrier..........|    8524   |       25|    -    |    -    |    -    |    -    |    -    |    -    
       Powered industrial        |           |         |         |         |         |         |         |         
        carrier, except          |           |         |         |         |         |         |         |         
        forklifts, n.e.c. .......|    8529   |      530|      192|       98|      115|    -    |    -    |      123
     Tractor.....................|     853   |    1,665|      779|       82|      246|       16|    -    |      542
     Plant and industrial powered|           |         |         |         |         |         |         |         
      vehicle, n.e.c. ...........|     859   |    1,412|      730|      192|      154|    -    |    -    |      313
   Plant and industrial          |           |         |         |         |         |         |         |         
    vehicle--nonpowered..........|      86   |   38,129|   18,396|    3,744|    3,023|      804|       95|   12,067
     Plant and industrial        |           |         |         |         |         |         |         |         
      vehicle--                  |           |         |         |         |         |         |         |         
