OS TB 12/05/95 C&D: Source x Nature-Inc.Rates '94




 Table R28.  Incidence rates(1) for  nonfatal occupational injuries and illnesses involving days away from work(2) per 10,000 full-time workers by source of injury or illness and selected natures of
 injury or illness, 1994
 __________________________________________________________________________________________________________________________________________________________________________________________________________
                                 |         |         |                                                                                                                                                     
                                 |         |         |                                                             Nature of injury or illness                                                             
                                 |         |         |_____________________________________________________________________________________________________________________________________________________
                                 |         |         |         |         |         |         |         |         |         |         |         |                             |                   |         
                                 |         |         |         |         |         |         |         |         |         |         |         | Multiple traumatic injuries |Back pain and pain,|         
                                 |         |         |         |         |         |         |         |         |         |         |         |        and disorders        |    except back    |         
              Source             |  Source |  Total  |         |         |         |         |         |         |         |         |         |_____________________________|___________________|   All   
                                 | code (3)|  cases  | Sprains,|         |  Cuts,  |         |   Heat  | Chemical| Amputa- |  Carpal | Tendon- |         |         |         |         |         |  other  
        unspecified..............|   7320  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Chisels--power not        |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        determined...............|   7321  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Knives--power not         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        determined...............|   7322  |    0.1  |    -    |    -    |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Saws--power not determined|   7323  |    0.2  |    -    |    -    |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Cutting handtools--power  |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        not determined, n.e.c. ..|   7329  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Striking and nailing        |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      handtools--power not       |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      determined.................|    733  |    0.2  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Hammers--power not        |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        determined...............|   7331  |    0.2  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Punches--power not        |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        determined...............|   7332  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Surfacing handtools--power  |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      not determined.............|    734  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Sanders--power not        |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        determined...............|   7341  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Turning handtools--power not|         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      determined.................|    735  |    0.2  |    0.1  |    -    |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Screwdrivers--power not   |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        determined...............|   7351  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Wrenches--power not       |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        determined...............|   7352  |    0.2  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Other handtools--power not  |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      determined.................|    739  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Staplers--power not       |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        determined...............|   7391  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Other handtools--power not|         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        determined, n.e.c. ......|   7399  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
   Ladders.......................|     74  |    1.4  |    0.6  |    0.2  |    0.1  |    0.2  |    -    |    -    |    -    |    -    |    -    |    0.1  |    -    |    -    |    0.1  |    -    |    0.2  
     Ladders, unspecified........|    740  |    0.7  |    0.3  |    0.1  |    -    |    0.1  |    -    |    -    |    -    |    -    |    -    |    0.1  |    -    |    -    |    -    |    -    |    0.1  
     Ladders--fixed..............|    741  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Ladders--movable............|    742  |    0.6  |    0.3  |    -    |    -    |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.1  |    -    |    0.1  
       Movable ladders,          |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        unspecified..............|   7420  |    0.4  |    0.2  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Extension ladders.........|   7421  |    0.1  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Step ladders..............|   7422  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Straight ladders..........|   7423  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Truck mounted ladders,    |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        aerial ladder trams......|   7424  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Movable ladders, n.e.c. ..|   7429  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Ladders, n.e.c. ............|    749  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
   Medical and surgical          |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
    instruments..................|     75  |    0.2  |    -    |    -    |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Medical and surgical        |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      instruments, unspecified...|    750  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Needles and syringes........|    751  |    0.1  |    -    |    -    |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Scalpels....................|    752  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Medical and surgical        |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      instruments, n.e.c. .......|    759  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
   Photographic equipment........|     76  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Cameras--still and motion   |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      picture....................|    761  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Tripods, stands.............|    764  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Photographic equipment,     |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      n.e.c. ....................|    769  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
   Protective equipment, except  |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
    clothing.....................|     77  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Dust masks..................|    771  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Earplugs and hearing        |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      protectors.................|    772  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Lifelines, lanyards, safety |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      belts or harnesses.........|    775  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Safety glasses or goggles...|    777  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Protective equipment, except|         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      clothing, n.e.c. ..........|    779  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
   Recreation and athletic       |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
    equipment....................|     78  |    0.4  |    0.2  |    -    |    -    |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.1  
     Recreation and athletic     |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      equipment,                 |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
       unspecified...............|    780  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Camping equipment...........|    781  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Gymnasium and exercise      |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      equipment..................|    782  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Playground equipment........|    783  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Snow skiing goods and       |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      equipment..................|    785  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Water sports equipment......|    786  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Recreation and athletic     |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      equipment, n.e.c. .........|    789  |    0.2  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
   Other tools, instruments, and |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
    equipment....................|     79  |    1.4  |    0.6  |    0.1  |    0.2  |    0.2  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.1  |    -    |    0.2  
     Clocks......................|    791  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Cooking and eating utensils,|         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      except knives..............|    792  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Firearms....................|    793  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Firearm, unspecified......|   7930  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Pistol, handgun, revolver.|   7931  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Shotgun...................|   7933  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Health care and orthopedic  |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      equipment, n.e.c. .........|    794  |    0.3  |    0.2  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Musical instruments.........|    795  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Pianos....................|   7951  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Other musical instruments.|   7959  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Sewing notions, n.e.c. .....|    796  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Fabric pins, safety pins..|   7961  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Sewing needles............|   7962  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Sewing notions, n.e.c. ...|   7969  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Wheelchairs.................|    797  |    0.4  |    0.2  |    -    |    -    |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Writing, drawing, and art   |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      supplies...................|    798  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Art supplies and          |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        materials, except paint..|   7981  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Chalk, crayons, marking   |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        devices..................|   7982  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Pens and pencils..........|   7983  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Writing, drawing, art     |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        supplies, n.e.c. ........|   7989  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Tools, instruments, and     |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      equipment, n.e.c. .........|    799  |    0.4  |    0.2  |    -    |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.1  
                                 |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
 Vehicles........................|      8  |   20.4  |    7.5  |    1.7  |    1.1  |    3.5  |    -    |    -    |    0.1  |    -    |    0.1  |    1.7  |    0.3  |    0.7  |    1.4  |    0.5  |    3.2  
   Vehicle, unspecified..........|     80  |    0.3  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
   Air vehicle...................|     81  |    0.3  |    0.1  |    -    |    -    |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Aircraft, unspecified.......|    810  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Aircraft--powered fixed wing|    811  |    0.2  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Aircraft--powered fixed   |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        wing, unspecified........|   8110  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Jet.......................|   8111  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Propeller-driven aircraft.|   8112  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Aircraft--powered fixed   |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        wing, n.e.c. ............|   8119  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Aircraft--powered rotary    |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      wing.......................|    812  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Helicopter................|   8121  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Aircraft, n.e.c. ...........|    819  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
   Highway vehicle, motorized....|     82  |   11.2  |    4.1  |    0.9  |    0.6  |    1.5  |    -    |    -    |    0.1  |    -    |    -    |    1.2  |    0.2  |    0.4  |    0.8  |    0.3  |    2.0  
     Highway vehicle, motorized, |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      unspecified................|    820  |    1.5  |    0.6  |    0.1  |    0.1  |    0.2  |    -    |    -    |    -    |    -    |    -    |    0.2  |    -    |    0.1  |    0.1  |    -    |    0.3  
     Automobile..................|    821  |    3.3  |    1.2  |    0.2  |    0.2  |    0.4  |    -    |    -    |    -    |    -    |    -    |    0.4  |    -    |    0.1  |    0.3  |    0.1  |    0.7  
     Bus.........................|    822  |    0.4  |    0.2  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.1  
     Motorcycle, moped...........|    823  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Motor home, recreational    |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      vehicle....................|    824  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Truck.......................|    825  |    5.4  |    1.8  |    0.6  |    0.4  |    0.8  |    -    |    -    |    -    |    -    |    -    |    0.6  |    0.1  |    0.2  |    0.3  |    0.1  |    0.8  
       Truck, unspecified........|   8250  |    2.5  |    0.8  |    0.2  |    0.2  |    0.4  |    -    |    -    |    -    |    -    |    -    |    0.3  |    0.1  |    0.1  |    0.2  |    0.1  |    0.4  
       Delivery truck............|   8251  |    0.5  |    0.2  |    -    |    -    |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.1  
       Dump truck................|   8252  |    0.2  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Pickup truck..............|   8253  |    0.2  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Semitrailer, tractor      |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        trailer, trailer truck...|   8254  |    1.5  |    0.5  |    0.2  |    0.1  |    0.2  |    -    |    -    |    -    |    -    |    -    |    0.1  |    -    |    -    |    0.1  |    -    |    0.2  
       Truck, n.e.c. ............|   8259  |    0.5  |    0.1  |    0.1  |    0.1  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.1  
     Van--passenger or light     |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      delivery...................|    826  |    0.6  |    0.3  |    -    |    -    |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    0.1  
     Highway vehicle, motorized, |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      n.e.c. ....................|    829  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
   Highway vehicle, nonmotorized.|     83  |    0.2  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Animal or human powered     |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      vehicle....................|    831  |    0.2  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Bicycle...................|   8312  |    0.2  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
   Offroad vehicle, nonindustrial|     84  |    0.2  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     All terrain vehicle (ATV)...|    841  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Golf cart, powered..........|    842  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Snowmobile..................|    843  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Offroad vehicle,            |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      nonindustrial, n.e.c. .....|    849  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
   Plant and industrial powered  |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
    vehicles, tractors...........|     85  |    3.1  |    0.7  |    0.5  |    0.2  |    0.8  |    -    |    -    |    -    |    -    |    -    |    0.3  |    -    |    0.1  |    0.2  |    -    |    0.5  
     Plant and industrial powered|         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      vehicles, unspecified......|    850  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Forklift....................|    851  |    2.5  |    0.5  |    0.4  |    0.2  |    0.7  |    -    |    -    |    -    |    -    |    -    |    0.2  |    -    |    0.1  |    0.2  |    -    |    0.4  
       Forklift, unspecified.....|   8510  |    2.0  |    0.4  |    0.3  |    0.1  |    0.5  |    -    |    -    |    -    |    -    |    -    |    0.2  |    -    |    0.1  |    0.1  |    -    |    0.3  
       Counterbalance rider--high|         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        lift.....................|   8511  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Hand/rider forklift       |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        truck--motorized.........|   8512  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Order picker high lift    |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        truck....................|   8513  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Pallet lift               |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        truck--motorized.........|   8514  |    0.2  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Platform lift truck--high |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        or low lift..............|   8515  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Forklift, n.e.c. .........|   8519  |    0.2  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Powered industrial carrier, |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      except forklifts...........|    852  |    0.2  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Powered industrial        |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        carrier, except          |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        forklifts, unspecified...|   8520  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Container carrier.........|   8521  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Stacker carrier...........|   8523  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
       Powered industrial        |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        carrier, except          |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
        forklifts, n.e.c. .......|   8529  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Tractor.....................|    853  |    0.2  |    0.1  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Plant and industrial powered|         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      vehicle, n.e.c. ...........|    859  |    0.2  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
   Plant and industrial          |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
    vehicle--nonpowered..........|     86  |    4.7  |    2.3  |    0.2  |    0.2  |    1.0  |    -    |    -    |    -    |    -    |    -    |    0.2  |    -    |    0.1  |    0.3  |    0.1  |    0.6  
     Plant and industrial        |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      vehicle--nonpowered,       |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         |         
      unspecified................|    860  |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    |    -    
     Cart, dolly, handtruck......|    861  |    4.3  |    2.1  |    0.2  |    0.2  |    0.9  |    -    |    -    |    -    |    -    |    -    |    0.1  |    -    |    0.1  |    0.3  |    0.1  |    0.5  
