Source	Reference
Sredl, 1997	Sredl, M.J. 1997. Ranid frog conservation and management. Nongame and Endangered Wildlife Program Technical Report 121. Arizona Game and Fish Department, Phoenix. 89 pp.

Stebbins, 1951	Stebbins, R.C. 1951. Amphibians of Western North America. University of California Press, Berkeley. 539 pp.

Stephens, 1921	Stephens, F. 1921. An annotated list of the amphibians and reptiles of San Diego County, California. Transactions, San Diego Society of Natural History 3: 57-69.

Stewart and Cochran, 1980 	Stewart, J.I. and P.A. Cochran. 1980. Necturus maculosus (mudpuppy). Herpetological Review 11(2): 36.

Stewart, 1961	Stewart, M.M. 1961. An ecological survey of amphibians, reptiles, and mammals of Allegany Indian Reservation and vicinity. New York State Museum and Science Service Bulletin 383: 63-98.

Sugg et al., 1988	Sugg, D.W., A.A. Karlin, C.R. Preston, and D.R. Heath. 1988. Morphological variation in a population of the salamander, Siren intermedia nettingi. Journal of Herpetology 22(2): 243-247.

Surface, 1913	Surface, H.A. 1913. The amphibians of Pennsylvania. Bulletin of the Pennsylvania State Department of Agriculture, Division of Zoology 3: 67-152.

Tanzer et al., 1966	Tanzer, E.C., E.O. Morrison, and C. Hoffpauir. 1966. New locality records for amphibians and reptiles in Texas. The Southwestern Naturalist 11: 131-132. 

Taylor, 1935	Taylor, E.H. 1935. Arkansas amphibians and reptiles in the Kansas University Museum. The University of Kansas Science Bulletin 22: 207-218.

Thompson, 1911	Thompson, C. 1911. Notes on the amphibians and reptiles of Cass County, Michigan. Thirteenth Report of the Michigan Academy of Science 13: 105-107.

Thompson, 1913	Thompson, C. 1913. The reptiles and amphibians of Monroe County, Michigan. Papers on Zoology of Michigan pp. 61-63.

Thompson, 1915	Thompson, C. 1915. The reptiles and amphibians of Manistee County, Michigan. Occasional Papers of the Museum of Zoology, University of Michigan 18: 1-6.

Thompson, 1982	Thompson, L.S. 1982. Distribution of Montana Amphibians, Reptiles and Mammals.  Montana Audubon Council, Helena. 22 pp.

Tihen and Sprague, 1939	Tihen, J.A. and J.M. Sprague. 1939. Amphibians, reptiles, and mammals of the Meade County State Park. Transactions of Kansas Academy of Science 42: 499-512.

Tihen, 1937	Tihen, J.A. 1937. Additional distributional records of amphibians and reptiles in Kansas counties. Transactions of Kansas Academy of Science 40: 401-409.

Tobey, 1985	Tobey, F.J. 1985. Virginia's Amphibians and Reptiles: A Distributional Survey. Virginia Herpetological Survey, Purcellville. 114 pp.

Trauth et al., 1987	Trauth, S.E., W.W. Byrd, and A.J. Johnson. 1987. Ambystoma tigrinum tigrinum. Herpetological Review 18(1): 17.

Trauth, in press	Trauth, S. In press. Distribution maps for the amphibians and reptiles of Arkansas. Arkansas State University.

Trowbridge, 1937	Trowbridge, A.H. 1937. New records of Amphibia for Oklahoma. Copeia 1937(1): 71-72.

Tucker et al., 1997	Tucker, J.K., C.A. Phillips, and J.E. Petzing. 1997. Pseudacris crucifer (spring peeper). Herpetological Review 28(4): 208.

Tucker, 1997	Tucker, J.K. 1997. Ambystoma tigrinum tigrinum (eastern tiger salamander). Herpetological Review 28(4): 206.

TUZM, 1938	Tulane University Zoology Museum. p.120  In: G.Gunter and W.E. Brode (1964), Necturus in the state of Mississippi, with notes on adjacent areas. Herpetologica Volume 20.

UF, 1953	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

UF, 1954	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

UF, 1955	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

UF, 1957	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

UIMNH, 1950	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

UIMNH, 1951	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

UIMNH, 1952	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

UIMNH, 1954	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

UIMNH, 1955	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

UIMNH, 1958	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

UIMNH, 1960	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

UMMZ, 1947	University of Michigan Museum. 1947. *Plethodon cinereus voucher records.

UMMZ, 1948	University of Michigan Museum. 1948. *Plethodon cinereus voucher records.

UMMZ, 1951	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

UMMZ, 1960	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

UMMZ, 1961	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

UMMZ, 1962	University of Michigan Museum. 1962. *Plethodon cinereus voucher records.

UMMZ, 1962	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

UMMZ, 1965	University of Michigan Museum. 1965. *Plethodon cinereus voucher records.

UMMZ, 1979	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

UMMZ, 1980	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

UMMZ, 1984	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

USNM, 1853	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

USNM, 1893	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

USNM, 1894	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

USNM, 1897	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

USNM, 1907	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

USNM, 1913	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

USNM, 1929	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

USNM, 1930	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

USNM, 1931	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

USNM, 1932	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

USNM, 1939	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

USNM, 1957	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

USNM, 1976	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

Van Denburgh, 1912	Van Denburgh, J. 1912. Notes on some reptiles and amphibians from Oregon, Idaho and Utah. Proceedings of the California Academy of Sciences 3: 155-160.

Vandewalle and Van Gorp, 1996	Vandewalle, T.J. and C.D. Van Gorp. 1996. Pseudacris crucifer (spring peeper). Herpetological Review 27(2): 86.

Vandewalle et al., 1996	Vandewalle, T.J., K.K. Sutton, and J.L. Christiansen. 1996. Pseudacris crucifer: an Iowa case history study of an amphibian call survey. Herpetological Review 27(4): 183-185.

Verrell, 1990	Verrell, P.A. 1990. A note on the courship of the broken-striped newt, Notophthalmus viridescens dorsalis (Harlan). Journal of Herpetology 24(2): 215-217.

Vinson, 1991	Vinson, M. 1991. Ambystoma tigrinum. Herpetological Review 22(2): 62.

Vogt, 1981	Vogt, R.C. 1981. Natural History of Amphibians and Reptiles of Wisconsin

VRASAG, 1995	Vermont Reptile and Amphibian Scientific Advisory Group, The. 1995. A Preliminary Atlas of the Reptiles and Amphibians of Vermont.

Walker, 1967	Walker, C.F. 1967. The Amphibians of Ohio Part I: Frogs and Toads. Ohio State Museum Science Bulletin Vol.1, No. 3, The Ohio Historical Society, Columbus. 109 pp.

Wallace, 1975	Wallace, J.M. 1975. Biochemical genetics of Eurycea bislineata and Eurycea aquatica (Amphibia: Plethodontidae) in Davidson County, Tennessee. M.S. Thesis. Austin Peay State University, Clarksville. 40 pp.

Walley, 1996	Walley, H.D. 1996. Notophthalmus viridescens louisianensis. Herpetological Review 27(2): 86.

Warfel, 1936	Warfel, H.E. 1936. Notes on the occurrence of Necturus maculosus (Rafinesque) in Massachusetts. Copeia 1936(4): 237.

WC, 1981	Davis, J. 1853-1999. Museum Records of Acris crepitans, Bufo americanus, Hyla chrysoscelis, H. versicolor, Pseudacris crucifer, P. triseriata, Rana catesbeiana, R. pipiens.

Weichert, 1945	Weichert, C.K. 1945. Seasonal variation in the mental gland and reproductive organs of the male Eurycea bislineata. Copeia 1945(2): 78-84.

Weller, 1930a	Weller, W.H. 1930a. Notes on amphibians collected in Carter Co. Ky. by the Junior Society of Natural Sciences. Proceedings of the Junior Society of Natural Sciences 1: 26-29.

Weller, 1930b	Weller, W.H. 1930b. Records of some reptiles and amphibians from Chimney Rock Camp, Chimney Rock, N.C., and vicinity. Proceedings of the Junior Society of Natural Sciences 1:51-54.

Welsh and Lind, 1988	Welsh Jr., H.H., and A.L. Lind. 1988. Old growth forests in the distribution of the terrestrial herpetofauna. Pp. 439-458. In: R.C. Szaro, K.E. Severson, and D.R. Patton (Eds.), Management of Amphibians, Reptiles, and Small Mammals in North America, Proceedings of the Symposium. USDA Forest Service, Flagstaff.

Welsh, 1986	Welsh Jr., H.H. 1986. Dicamptodon ensatus: Behavior. Herpetological Review 17(1): 19.

Wheeler and Wheeler, 1966	Wheeler, G.C. and J. Wheeler. 1966. The Amphibians and Reptiles of North Dakota. University of North Dakota Press, Grand Forks. 104 pp.

Whiteman et al., 1998	Whiteman, H.H., R.D. Howard, X. Spray, and J. McGrady-Steed. 1998. Facultative paedomorphosis in an Indiana population of the eastern tiger salamander, Ambystoma tigrinum tigrinum. Herpetological Review 29(3): 141-143.

Whiting et al., 1987	Whiting Jr., R.M., R.R. Fleet, and V.A. Rakowitz. 1987. Herpetofauna in loblolly-shortleaf pine stands of east Texas. Pp. 39-48 In: H.A. Pearson, F.E. Smeins, and R.E. Thill (Eds.), Ecological, Physical, and Socioeconomic Relationships Within Southern National Forests, Proceedings of the Southern Evaluation Project Workshop. Southern Forest Experiment Station, USDA Forest Service, New Orleans. 

Wilder, 1924	Wilder, I.W. 1924. The developmental history of Eurycea bislineata in western Mass. Copeia 1924: 77-80.

Wiley, 1982	Wiley, J.E. 1982. Chromosome banding patterns of treefrogs (Hylidae) of the eastern United States. Herpetologica 38: 507-520.

Williams and Mullin, 1987a	Williams, K.L. and K. Mullin. 1987a. Amphibians and reptiles of loblolly-shortleaf pine type of Louisiana. Pp. 77-80. In: H.A. Pearson, F.E. Smeins, and R.E. Thill (Eds.), Ecological, Physical, and Socioeconomic Relationships Within Southern National Forests, Proceedings of the Southern Evaluation Project Workshop. Southern Forest Experiment Station, USDA Forest Service, New Orleans. 

Williams and Mullin, 1987b	Williams, K.L. and K. Mullin. 1987b. Amphibians and reptiles of longleaf-slash pine stands in central Louisiana. Pp. 116-120. In: H.A. Pearson, F.E. Smeins, and R.E. Thill (Eds.), Ecological, Physical, and Socioeconomic Relationships Within Southern National Forests, Proceedings of the Southern Evaluation Project Workshop. Southern Forest Experiment Station, USDA Forest Service, New Orleans. 

Williams, 1998	Willliams, A.A. 1998. Pseudacris crucifer (spring peeper). Herpetological Review 29(2): 108.

Williamson and Moulis, 1979	Williamson, G.K. and R.A. Moulis. 1979. Distribution of Georgia Amphibians and Reptiles in the Savannah Science Museum Collection. Special Publication No. 1. Savannah Science Museum, Inc., Savannah. 163 pp.

Williamson and Moulis, 1994	Williamson, G.K. and R.A. Moulis. 1994. Herpetological Specimens in the Savannah Science Museum Collection, Volume 1 -- Amphibians. Special Publication No. 2. Savannah Science Museum, Inc., Savannah.  ? pp.

Wilson, 1999	Wilson, A.K. 1999. New Illinois amphibian and reptile distribution records from the Kaskaskia River Drainage. Herpetological Review 30: 118-120.

Wood, 1949	Wood, J.T. 1949. Eurycea bislineata wilderae Dunn. Herpetologica 5: 61-62.

Wood, 1972	Wood, S.C. 1972. Metabolic rate of larval and adult Pacific giant salamanders, Dicamptodon ensatus (Escholtz). Copeia 1972: 177-179.

Wood, 1995	Wood, K.N. 1995. Notophthalmus viridescens piaropicola (peninsula newt). Herpetological Review 26: 41.

Woolcott, 1981	Woolcott, J.N. 1981. A reevaluation of the herpetofauna of Davies Island, Center Hill Reservoir, DeKalb County, Tennessee. M.S. Thesis, Tennessee Technological University, Cookeville. 57 pp.

Wright and Wright, 1949	Wright, A.H. and A.A. Wright. 1949. Handbook of Frogs and Toads of the United States and Canada. Comstock Publishing Associates, Ithaca. 640 pp.

Zeiner et al., 1999	Zeiner, D., W. Laudenslayer, K. Mayer and M. White (Eds.). 1999. California's Wildlife. California Department of Fish and Game, CD-ROM.

